Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,3.177285,51.89473684210526,-0.49099746,-1.9749999882446394,-1.9749999882446394,1.0
2000,3.1772506,52.421052631578945,-0.52113134,-1.836842069500371,-1.836842069500371,1.0
3000,3.1774025,72.64285714285714,-0.5697536,-2.5500002929142545,-2.5500002929142545,1.0
4000,3.1770525,70.35714285714286,-0.72826374,-3.05357158609799,-3.05357158609799,1.0
5000,3.1741092,56.44117647058823,-0.44320568,-2.2733332832654316,-2.2733332832654316,1.0
6000,3.1583107,36.0,-0.722703,-2.350000074035243,-2.350000074035243,1.0
7000,3.1608572,56.94117647058823,-0.6359797,-2.1972222559981875,-2.1972222559981875,1.0
8000,3.1610565,61.5,-0.8370805,-2.4812500439584255,-2.4812500439584255,1.0
9000,3.1594663,49.44444444444444,-0.6231862,-1.5699999779462814,-1.5699999779462814,1.0
10000,3.1547773,67.46666666666667,-0.6890694,-2.8428571905408586,-2.8428571905408586,1.0
11000,3.1450524,45.0,-0.84376043,-2.6933333317438763,-2.6933333317438763,1.0
12000,3.142494,61.642857142857146,-0.8648131,-2.6812502183020115,-2.6812502183020115,1.0
13000,3.1397471,45.90909090909091,-0.87208885,-1.8477273258295925,-1.8477273258295925,1.0
14000,3.136732,48.0,-0.8518295,-1.9500000298023223,-1.9500000298023223,1.0
15000,3.1291437,47.75,-0.9673152,-1.8900000274181366,-1.8900000274181366,1.0
16000,3.1230416,48.42857142857143,-0.9670326,-1.5613636401566593,-1.5613636401566593,1.0
17000,3.1182928,47.0,-0.9585451,-1.8025000005960465,-1.8025000005960465,1.0
18000,3.1234179,53.833333333333336,-1.0710976,-2.099999987416797,-2.099999987416797,1.0
19000,3.122899,43.31578947368421,-1.0261579,-2.039999982714653,-2.039999982714653,1.0
20000,3.123537,59.5,-1.052878,-1.666666639347871,-1.666666639347871,1.0
21000,3.1105578,57.0,-0.97264606,-2.1617646953638863,-2.1617646953638863,1.0
22000,3.1239722,50.473684210526315,-1.0429319,-2.1157894793309664,-2.1157894793309664,1.0
23000,3.1107101,51.31578947368421,-1.1150633,-1.9868421617307161,-1.9868421617307161,1.0
24000,3.113164,48.483870967741936,-1.0896401,-1.7357142851466225,-1.7357142851466225,1.0
25000,3.109902,65.14285714285714,-1.1089981,-2.5147060261053196,-2.5147060261053196,1.0
26000,3.1132293,41.958333333333336,-1.1312351,-1.5895833497246106,-1.5895833497246106,1.0
27000,3.1120188,49.78947368421053,-1.1407627,-2.0342106066252055,-2.0342106066252055,1.0
28000,3.1031384,41.32,-1.1357764,-1.419999976158142,-1.419999976158142,1.0
29000,3.0771558,50.285714285714285,-1.198997,-2.1000000922118915,-2.1000000922118915,1.0
30000,3.0668325,46.666666666666664,-1.1215085,-1.724999961527911,-1.724999961527911,1.0
31000,3.078856,45.666666666666664,-1.1018507,-1.7690476051398687,-1.7690476051398687,1.0
32000,3.0744603,43.04545454545455,-1.1195756,-1.6152174174785614,-1.6152174174785614,1.0
33000,3.069164,49.26470588235294,-1.123146,-2.270588261239669,-2.270588261239669,1.0
34000,3.0375369,50.833333333333336,-1.010576,-1.6065217230630957,-1.6065217230630957,1.0
35000,3.0383072,46.6,-0.96744597,-1.4024999901652335,-1.4024999901652335,1.0
36000,3.0481112,47.36363636363637,-0.9856798,-2.0772727903994648,-2.0772727903994648,1.0
37000,3.0280976,52.0,-1.0126014,-1.9194445941183302,-1.9194445941183302,1.0
38000,3.04468,50.310344827586206,-1.0344507,-2.2611111866103277,-2.2611111866103277,1.0
39000,3.0571833,68.375,-1.0235481,-1.7052631378173828,-1.7052631378173828,1.0
40000,3.0397942,71.76923076923077,-1.0541335,-3.300000163225027,-3.300000163225027,1.0
41000,3.04315,41.88,-1.0553625,-1.5400000500679016,-1.5400000500679016,1.0
42000,3.0409997,56.05882352941177,-1.0450124,-2.232353077215307,-2.232353077215307,1.0
43000,3.0350006,62.72,-1.140091,-2.584375150501728,-2.584375150501728,1.0
44000,3.0266662,33.36363636363637,-1.0763361,-1.9850000694394112,-1.9850000694394112,1.0
45000,3.0153153,48.95,-1.0570309,-1.777499982714653,-1.777499982714653,1.0
46000,3.0212054,48.76190476190476,-1.1323819,-1.9599999755620956,-1.9599999755620956,1.0
47000,3.0320683,42.8,-1.0687438,-1.5454545346173374,-1.5454545346173374,1.0
48000,2.9903908,35.4,-1.1105999,-1.5250000084439914,-1.5250000084439914,1.0
49000,2.9757774,46.04347826086956,-1.0630982,-1.7478260916212331,-1.7478260916212331,1.0
50000,2.9727788,47.578947368421055,-1.108482,-1.9026315557329279,-1.9026315557329279,1.0
51000,2.999831,59.3,-1.0959218,-1.5850000724196434,-1.5850000724196434,1.0
52000,2.9904163,58.6,-1.110413,-3.573077197258289,-3.573077197258289,1.0
53000,2.9723985,19.5,-1.075699,-2.0555556880103216,-2.0555556880103216,1.0
54000,2.9858553,47.0,-1.0852668,-1.6999999568575905,-1.6999999568575905,1.0
55000,2.9642053,61.1764705882353,-1.0539793,-2.114706004367155,-2.114706004367155,1.0
56000,2.9771442,69.6875,-1.1289029,-3.0100002944469453,-3.0100002944469453,1.0
57000,2.9639964,41.0,-1.0764738,-1.9071429896922338,-1.9071429896922338,1.0
58000,2.9750793,56.53333333333333,-1.1451293,-1.760526362218355,-1.760526362218355,1.0
59000,2.9677067,47.9,-1.1357992,-2.035000151395798,-2.035000151395798,1.0
60000,2.9625607,36.851851851851855,-1.1314708,-1.2240740645814825,-1.2240740645814825,1.0
61000,2.9901311,41.80555555555556,-1.1120567,-1.7394736628783376,-1.7394736628783376,1.0
62000,2.9467885,39.5,-1.1083151,-1.1462963002699393,-1.1462963002699393,1.0
63000,2.9569194,38.46153846153846,-1.1572057,-1.2288461522414134,-1.2288461522414134,1.0
64000,2.92326,44.04545454545455,-1.0949423,-1.9340909773653203,-1.9340909773653203,1.0
65000,2.9356666,52.21052631578947,-1.1741704,-2.0972223381201425,-2.0972223381201425,1.0
66000,2.9443128,42.60606060606061,-1.1698883,-1.6681817905469374,-1.6681817905469374,1.0
67000,2.9346397,37.8,-1.1434991,-1.170370352488977,-1.170370352488977,1.0
68000,2.9341242,39.4,-1.1531955,-1.3083333273728688,-1.3083333273728688,1.0
69000,2.9432867,32.55172413793103,-1.1765572,-1.070000010728836,-1.070000010728836,1.0
70000,2.9362113,45.35,-1.1262558,-1.45681816610423,-1.45681816610423,1.0
71000,2.943999,48.0,-1.0851345,-1.8524999797344208,-1.8524999797344208,1.0
72000,2.9223754,46.142857142857146,-1.0169653,-1.6999999785965139,-1.6999999785965139,1.0
73000,2.9146104,47.23809523809524,-1.0765171,-1.5857142578987848,-1.5857142578987848,1.0
74000,2.935385,45.90909090909091,-1.1201726,-1.2642857077575864,-1.2642857077575864,1.0
75000,2.9349642,43.1875,-1.054948,-1.700000022848447,-1.700000022848447,1.0
76000,2.8543642,40.4,-1.0487335,-1.539130537406258,-1.539130537406258,1.0
77000,2.8201292,36.916666666666664,-1.0728383,-1.4960000240802764,-1.4960000240802764,1.0
78000,2.887432,34.17857142857143,-1.0148233,-1.0339285454579763,-1.0339285454579763,1.0
79000,2.8556073,37.46666666666667,-1.0697032,-1.3269231239190469,-1.3269231239190469,1.0
80000,2.8471785,27.4,-1.0131484,-1.1200000127156575,-1.1200000127156575,1.0
81000,2.865117,36.23076923076923,-1.0274154,-1.261538449388284,-1.261538449388284,1.0
82000,2.9072318,43.608695652173914,-1.0459306,-1.3782608470191127,-1.3782608470191127,1.0
83000,2.841087,42.78260869565217,-1.0426327,-1.3847825708596602,-1.3847825708596602,1.0
84000,2.8192308,35.351351351351354,-0.9376469,-1.3739999914169312,-1.3739999914169312,1.0
85000,2.7618027,33.61904761904762,-0.8647367,-0.843750013038516,-0.843750013038516,1.0
86000,2.7696352,34.56,-0.9060983,-1.1903846023174434,-1.1903846023174434,1.0
87000,2.8276331,31.612903225806452,-0.9034348,-0.8983871042728424,-0.8983871042728424,1.0
88000,2.8091865,34.851063829787236,-0.87951344,-0.9482142765607152,-0.9482142765607152,1.0
89000,2.8339856,32.875,-0.92177576,-1.1714285952704293,-1.1714285952704293,1.0
90000,2.8010125,36.10344827586207,-0.9567195,-1.2714285552501678,-1.2714285552501678,1.0
91000,2.7791286,38.416666666666664,-0.8749211,-1.148000053167343,-1.148000053167343,1.0
92000,2.78264,35.18518518518518,-0.9001401,-0.9925925974492673,-0.9925925974492673,1.0
93000,2.7790375,41.48571428571429,-0.95393276,-1.4541666967173417,-1.4541666967173417,1.0
94000,2.7410107,29.1875,-0.95607585,-1.0500000949416841,-1.0500000949416841,1.0
95000,2.7573345,34.666666666666664,-0.99845797,-1.094999971985817,-1.094999971985817,1.0
96000,2.7369485,32.241379310344826,-0.94349915,-0.9732143091303962,-0.9732143091303962,1.0
97000,2.720488,28.395833333333332,-0.9602699,-0.8593749981373549,-0.8593749981373549,1.0
98000,2.7060325,31.0,-0.9290261,-0.9102941251852933,-0.9102941251852933,1.0
99000,2.7210643,32.516129032258064,-0.932093,-0.8516129063021752,-0.8516129063021752,1.0
100000,2.7164633,36.53846153846154,-0.927535,-1.0653846367047384,-1.0653846367047384,1.0
101000,2.6757295,39.44,-0.8003406,-1.108000020980835,-1.108000020980835,1.0
102000,2.6579003,32.205882352941174,-0.89099246,-0.9816666980584462,-0.9816666980584462,1.0
103000,2.7064514,31.384615384615383,-0.8120254,-0.8200000077486038,-0.8200000077486038,1.0
104000,2.617168,29.0,-0.77482605,-0.6808823627584121,-0.6808823627584121,1.0
